Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
Fixed route shuttle,,,Fixed route shuttle,,,Home to work,,,Home to work,,,,Prospect Hill,Hillhouse area,,,,,No,,,,,,,,,,,,,,,,
Fixed route shuttle,Walk,Fixed route shuttle,Fixed route shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Hamden,Med campus,,Most places,"Shuttle access,Improve lighting,Security presence",,No,,,"Lack of bike paths,Other (please specify),Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic","Children, safety of bike storage",60,"More frequent services, fixed timetable","No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to elsewhere,I don't travel during this time,Work to home,Work to home,Home to elsewhere,Home to elsewhere,,Prospect Hill,Other (please specify),,,Shuttle access,,No,,,,,,,,,,,,,,,,
Walk,Walk,Walk,Fixed route shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Med campus,,no,"Improve lighting,Security presence",,No,,,Don't feel safe biking in traffic,,9,More at night,"No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Walk,Fixed route shuttle,Fixed route shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,Med campus,,,,,Yes,,,,,10,"It is difficult to use the shuttle to go downtown from East Rock after 6 pm. The Orange Line is no longer running a fixed route so it's hard to rely on, and the Blue line begins at Whitney/Humphrey. A bus that picks up along Whitney between 6-10pm would be helpful.",Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Car,I don't travel during this time,Car,,,,,,,,Near Med campus,Med campus,,Yes,"Shuttle access,Blue light,Other (please specify)",Door to door service sometimes needs a hour waiting time,No,,,"Lack of bike paths,Because the commute is too short/long,Due to weather considerations",,15,,Yale provided incentives for using CT transit instead of a car,,No,No,,No,,No,Yes,
Walk,Walk,Walk,Car,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,Door to door shuttle,East Rock,Hillhouse area,,,,,No,,,"Because the commute is too short/long,Because bikes are expensive",,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Walk,Work to home,Home to work,Home to work,Home to work,Prefer not to answer,Home to elsewhere,To-door shuttle (Law/Med),Wooster Square,Hillhouse area,,,,,No,,,,,,,,,,,,,,,,
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Prefer not to answer,Prefer not to answer,,Downtown,Prospect,,Nope,,,No,,,Other (please specify),Personal preference,10,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to home,Work to home,Home to elsewhere,Home to work,,East Rock,Science Hill,,Walking up edwards to science hill. East of science hill perhaps. Sometimes on Whitney during really late hours.,"Improve lighting,Security presence",,No,,,"Nowhere to store bike (i.e. bike racks),Other (please specify),Because the commute is too short/long",bike got stolen :/,4,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Car,Walk,Car,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,"Fixed route shuttle,Door to door shuttle,To-door shuttle (Law/Med)",Hamden,"Science Hill,Hillhouse area",,Newhallville,"Shuttle access,Security presence",,No,,,"Other (please specify),Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",I don't have time,60,Go to Hamden,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,Yes,Yes,Unknown
I don't travel during this time,I don't travel during this time,I don't travel during this time,I don't travel during this time,I don't travel during this time,I don't travel during this time,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,To-door shuttle (Law/Med),Near Med campus,Med campus,,,,,No,,,,,,,,,,,,No,,,,
Walk,Walk,Walk,Walk,Walk,,Home to work,Work to elsewhere,Home to work,Work to home,,,,East Rock,Science Hill,,,,,No,,,Don't feel safe biking in traffic,,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Walk,Fixed route shuttle,Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Whitney/Temple (includes SOM),,yes,"Shuttle access,Improve lighting,Security presence",,No,,,"Other (please specify),Due to weather considerations",,12,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,CT transit,East Rock,Science Hill,,No,,,No,,,Because the commute is too short/long,,15,"More shuttles, easier way to order than to listen to the whole menu, an app.","No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Fixed route shuttle,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Science Hill,,Bass Parking Lot (construction decreases visibility),"Improve lighting,Security presence",,No,,,Because the commute is too short/long,,15,,Yale provided incentives for using CT transit instead of a car,,"Yes, I've heard of it",No,,No,,Yes,Yes,
Car,Car,Car,Car,Car,Car,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Mansfield/Yale Health area,York St.,,Mansfield/Winchester area walking,"Shuttle access,Improve lighting,Security presence",,No,,,Other (please specify),I dont bike.,5,,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Car,I don't travel during this time,Car,Home to work,Home to work,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,Science Hill,,,"Improve lighting,Other (please specify)",more people around...,No,,,Don't feel safe biking in traffic,,15,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Car,Fixed route shuttle,Car,I don't travel during this time,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,I don't travel during this time,I don't travel during this time,Home to work,,East Rock,West campus,,,,,Yes,,,,,10,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Fixed route shuttle,Car,Door-to-door shuttle,Car,Home to work,Home to work,Work to home,Work to home,Work to home,Home to work,,East Rock,Med campus,,No,Shuttle access,,No,,,Because the commute is too short/long,,15,Orange shuttle running all day.,"No, I wouldn't be interested",,No,Yes,,No,,No,Yes,Unknown
I don't travel during this time,Car,Walk,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,I don't travel during this time,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Other,York St.,,Generally safe,"Improve lighting,Security presence",,No,,,Other (please specify),I don't live in NH,5,No personal experience,"No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Uber/taxi,I don't travel during this time,Uber/taxi,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,"Hillhouse area,Med campus",,York/Cedar,"Improve lighting,Security presence",,No,,,"Nowhere to store bike (i.e. bike racks),Don't feel safe biking in traffic",,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,,Walk,,Walk,,Work to home,Work to home,Work to home,,,,,Downtown,York St.,,No,Security presence,,No,,,Don't feel safe biking in traffic,,0,I think it's OK as is. Possibly more shuttles on the weekend.,"I already use CT transit,Yale provided graduate students with cheaper/free passes",,"Yes, I have and use the app",No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Downtown,Med campus,,Between medical school and more populated areas of College St.,Security presence,,Yes,,,,,15,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,No,
I don't travel during this time,Walk,Walk,Walk,I don't travel during this time,Walk,I don't travel during this time,Home to work,Home to work,Work to home,,Home to work,,Downtown,Med campus,,State Street close to Church Street,Security presence,,No,,,Because the commute is too short/long,,9,"Better knowledge of shuttle schedule. With night shuttles, it is always hard to know exactly when they will arrive since they are stopping at unusual stops.",Yale provided incentives for using CT transit instead of a car,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Home to work,,Wooster Square,"York St.,Cross campus",,The Bridge to Downtown From Wooster Square (on chapel street),Shuttle access,,No,,,Nowhere to store bike (i.e. bike racks),,10,Wooster Square to be served with a direct Campus shuttle. ,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,No,Unknown
Walk,Walk,Walk,Walk,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Hillhouse area,,No,"Shuttle access,Improve lighting",,No,,,"Because the commute is too short/long,Due to weather considerations",,15,,"No, I wouldn't be interested",,No,No,,No,,No,No,
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to work,,East Rock,West campus,,,,,No,,,Because the commute is too short/long,,15,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Car,Fixed route shuttle,Fixed route shuttle,Car,Car,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Hamden,Med campus,,walking from med school to amistad parking deck,"Security presence,Other (please specify)",more security - they don't patrol after certain times at night,No,,,Don't feel safe biking in traffic,,10,there needs to be a regular night bus that is not part of door-to-door,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Car,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"York St.,Old campus",,,"Improve lighting,Blue light",,No,,,Other (please specify),I don't have a bike,60,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Fixed route shuttle,I don't travel during this time,Walk,Fixed route shuttle,Walk,Walk,Home to work,I don't travel during this time,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Downtown,Science Hill,,,,,No,,,"Lack of bike paths,Due to weather considerations,Don't feel safe biking in traffic",,10,It's frustrating when blue line and orange line buses leave at the same time from the medical campus going up York street.,Other (please specify),I don't really know the stops of CT transit. It would help to know where to find this information out.,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Uber/taxi,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,Downtown,"Hillhouse area,Prospect",,,,,No,,,"Lack of bike paths,Due to weather considerations,Don't feel safe biking in traffic",,7,"more frequent, more reliable, go more places. The app is often misleading. ",Other (please specify),"I don't need Yale to supplement, I just wish I could use my Yale ID to use the bus. I often don't have cash and don't know how much it costs anyway or where the buses go so I don't use them",No,No,,No,,No,No,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Work to home,I don't travel during this time,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,Downtown,"Hillhouse area,Prospect",,,Shuttle access,,No,,,"Nowhere to store bike (i.e. bike racks),Due to weather considerations",,5,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Uber/taxi,Uber/taxi,Bike,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,"Science Hill,Hillhouse area,Whitney/Temple (includes SOM)",,Winchester Ave,Blue light,,Yes,,,,,30,,"I already use CT transit,Yale provided graduate students with cheaper/free passes",,No,No,,No,,Yes,No,
Bike,Walk,Bike,To-door shuttle (law/med),Door-to-door shuttle,Bike,Home to work,Work to elsewhere,Work to home,,,,CT transit,East Rock,"York St.,Cross campus",,,Improve lighting,,Yes,,,,,15,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Car,Car,Car,Car,Car,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,Home to elsewhere,Home to elsewhere,,East Rock,Science Hill,,Mansfield & Edwards St.,"Improve lighting,Security presence",,No,,,"Other (please specify),Don't feel safe biking in traffic",safer to drive,30,NA,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,,,Downtown,Hillhouse area,,Crossing North & South Frontage,Security presence,,No,,,Don't feel safe biking in traffic,,10,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Walk,Fixed route shuttle,Fixed route shuttle,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to home,Prefer not to answer,Prefer not to answer,Home to work,,,Cross campus,,"On weekends, should be more shuttles","Shuttle access,Improve lighting,Security presence",,No,,,Don't feel safe biking in traffic,,8,More shuttles on weekends ,,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,Fixed route shuttle,Prospect Hill,"Whitney/Temple (includes SOM),Cross campus,Old campus",,prospect street between the whale and the forestry school ,"Improve lighting,Security presence",,No,,,"Nowhere to store bike (i.e. bike racks),Due to weather considerations,Don't feel safe biking in traffic",,4,more regular service up and down prospect street,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,Work to home,Home to elsewhere,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Downtown,Science Hill,,,,,No,,,Because bikes are expensive,,45,,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to work,,East Rock,West campus,,upper Whitney Ave near East Rock Park,"Shuttle access,Improve lighting,Security presence,Blue light",,No,,,"Lack of bike paths,Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",,5,Please no smoking allowed NEAR/ON shuttle!!!,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Car,Car,Car,Home to work,Work to elsewhere,Work to elsewhere,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Science Hill,,Mansfield,Security presence,,No,,,"Because the commute is too short/long,Because bikes are expensive",,10,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car,Other (please specify)",More bus,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,Walk,Fixed route shuttle,Home to work,Work to home,Home to work,Work to home,I don't travel during this time,Home to elsewhere,,Downtown,"York St.,Hillhouse area",,Corner of Grove and Hillhouse late at night.,Security presence,,No,,,"Nowhere to store bike (i.e. bike racks),Other (please specify),Due to weather considerations",No bike storage in my building,15,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,I don't travel during this time,Walk,Car,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Science Hill,,"On Mansfield street in general, but in particular on the block after hillside.","Shuttle access,Improve lighting,Security presence",,No,,,Due to weather considerations,,15,A lot of times the red shuttle comes later than what is posted on transloc.,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Door-to-door shuttle,Fixed route shuttle,Home to work,Home to work,Work to home,Work to home,Home to elsewhere,I don't travel during this time,To-door shuttle (Law/Med),Downtown,"Science Hill,Hillhouse area,Prospect",,Dark places,"Improve lighting,Security presence,Blue light",,No,,,Because bikes are expensive,,15,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Uber/taxi,Uber/taxi,Fixed route shuttle,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Med campus,,,,,Yes,,,,,10,,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,
Bike,I don't travel during this time,Bike,Bike,I don't travel during this time,Bike,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Hillhouse area,,Biking on Whitney between Trumbull and Edwards,Other (please specify),"Bike lanes, more considerate drivers",Yes,,,,,10,"It should run a regular route at night, so that you can get on and travel to campus if needed. Door-to-door service by nature can be very erratic, travels times are nearly impossible to predict",Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,"Science Hill,Prospect,Cross campus",,,"Improve lighting,Security presence",,No,,,"Other (please specify),Due to weather considerations,Don't feel safe biking in traffic",horrible roads ,20,more regularity in their timing would be great,"No, I wouldn't be interested",,No,No,,No,,No,No,Unknown
Walk,Walk,Walk,Walk,Uber/taxi,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"Cross campus,Old campus",,,Security presence,,No,,,Because the commute is too short/long,,15,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Near Med campus,Med campus,,area between med campus and Walsgreen on York St ,Security presence,,No,,,Due to weather considerations,,20,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,Uber/taxi,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Work to home,,East Rock,"York St.,Other (please specify),Cross campus",East Rock/home,"No, though at times the path between SOM and Orange Street feels a bit dark/secluded","Improve lighting,Security presence",,No,,,Other (please specify),Just don't particularly like biking,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Car,I don't travel during this time,Car,Car,Car,Car,Work to home,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Other,Science Hill,,,,,No,,,Because the commute is too short/long,,8,,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,Uber/taxi,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"York St.,Hillhouse area,Cross campus",,,,,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,5,,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Walk,Home to work,Home to work,Work to home,Work to home,Work to home,Home to work,To-door shuttle (Law/Med),Downtown,Med campus,,,"Shuttle access,Security presence",,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,12,,Other (please specify),apps available for real time location,"Yes, I've heard of it",No,,No,,No,Yes,
Walk,Bike,Bike,Walk,Bike,Bike,Home to work,I don't travel during this time,Work to home,Work to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,up edwards street from whitney to prospect,Other (please specify),better bike lanes.  i don't feel safe because drivers do not take bikers into consideration.,Yes,,,,,5,The shuttle routes don't connect east rock with science hill in an efficient way. ,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car,Other (please specify)",Yale made it easy for me to understand CT transit routes andn schedules (maybe a new app that could also benefit city residents?).  I'm all for combining the shuttle with CT Transit!,No,No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,Uber/taxi,Bike,Home to work,Work to elsewhere,Work to elsewhere,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,not really,,,Yes,,,,,9,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Uber/taxi,Home to work,Home to work,Work to home,Home to elsewhere,I don't travel during this time,Home to work,,Downtown,"York St.,Hillhouse area,Prospect,Cross campus,Old campus",,,,,No,,,Because bikes are expensive,,10,waiting at night time is usually too long. so I just call Uber ,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Mansfield/Yale Health area,Hillhouse area,,Nope,Other (please specify),Seems like there is always a security car on Mansfield so it's fine,Yes,,,,,10,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Bike,Fixed route shuttle,Fixed route shuttle,Bike,Car,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Hillhouse area,,,,,Yes,,,,,15,Higher frequency,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,Unknown
Fixed route shuttle,Walk,Walk,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Prefer not to answer,Home to elsewhere,,East Rock,Hillhouse area,,edwards st between whitney and orange,Improve lighting,,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,15,accurately predicting wait times during shuttle changes (i.e. 6pm) and when shuttles pause (i.e. orange line at top of route in morning),"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,Yes,Yes,Unknown
Car,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,,,Home to work,Work to elsewhere,Work to elsewhere,Work to home,,,,Downtown,West campus,,I often bike to west campus from downtown New Haven. There are some very poor road conditions with fairly heavy traffic,Other (please specify),"New Haven/West Haven road surface conditions, protected bike lanes, and police enforcement of dangerous driving habits",Yes,,,,,2,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Walk,Walk,Door-to-door shuttle,Car,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,"York St.,Cross campus",,The space between wall street to canner street along orange street,"Shuttle access,Improve lighting",,No,,,"Lack of bike paths,Nowhere to store bike (i.e. bike racks),Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",,10,"Shuttles basically disappear between 11am to 4pm for east rock - I don't understand why they take all of it away. Also, there is 1 orange shuttle at 4 and then you have to wait 30 minutes for the next one. Rather than just blue, there should be a blue and orange all day long.","Yale provided graduate students with cheaper/free passes,Other (please specify)","If the CT routes were published, bus routes made clear, buses actually running all day through the neighborhoods, and having actual bus stops so we don't get wet all the time.",No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Door-to-door shuttle,Home to work,Work to home,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Hillhouse area,,"When I return from HH area, I would like to have access to shuttle to go to downtown.",Shuttle access,,No,,,Nowhere to store bike (i.e. bike racks),,10,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,Work to home,Work to home,Work to home,Home to work,Home to work,Work to home,To-door shuttle (Law/Med),Mansfield/Yale Health area,Prospect,,Mansfield St,Security presence,,No,,,"Because the commute is too short/long,Due to weather considerations",,15,More stops along Prospect St,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Door-to-door shuttle,Work to home,Work to home,Work to home,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Near Med campus,Med campus,,near Walgreens,"Improve lighting,Security presence,Blue light",,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,10,"When I call to schedule a door-to-door ride, they don't take down the address of the flag stops. But when we get on the shuttle, the driver always tells us we should've reported the flag stop addresses. There should be better communication between the drivers and ride scheduling staff.","No, I wouldn't be interested",,No,No,,No,,Yes,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Prefer not to answer,Work to elsewhere,CT transit,East Rock,"Med campus,West campus",,,"Shuttle access,Improve lighting",,No,,,,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Uber/taxi,I don't travel during this time,Walk,Home to work,Work to home,Home to elsewhere,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Wooster Square,"York St.,Other (please specify)",Mostly write from home.,Crossing State Street,"Improve lighting,Security presence",,No,,,Other (please specify),I don't like biking. How is that not an option on this survey? I just don't want to.,7,"The shuttles often get clumped together, so two shuttles will come to my stop within five minutes of each other and then nothing for twenty minutes. That kind of sucks.",Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
